MASS        E           DATA        ERR-S
89.         6.7         0.          0.
89.         6.9         0.          0.
89.         7.1         0.          0.
89.         7.3         0.          0.
89.         7.5         0.          0.
89.         7.7         0.          0.
89.         7.9         0.          0.
89.         8.1         0.          0.
89.         8.3         0.          0.
89.         8.5         0.          0.
89.         8.7         0.          0.
89.         8.9         0.          0.
89.         9.1         0.          0.
89.         9.3         0.          0.
89.         9.5         0.          0.
89.         9.7         0.          0.
89.         9.9         0.          0.
89.         10.1        0.          0.
89.         10.3        0.          0.
89.         10.5        0.          0.
89.         10.7        0.          0.
89.         10.9        0.          0.
89.         11.1        0.          0.
89.         11.3        0.          0.
89.         11.5        0.          0.
89.         11.7        0.          0.
89.         11.9        0.          0.
89.         12.1        0.          0.
89.         12.3        0.          0.
89.         12.5        0.          0.
89.         12.7        0.          0.
89.         12.9        0.          0.
89.         13.1        0.          0.
89.         13.3        0.          0.
89.         13.5        0.          0.
89.         13.7        0.          0.
89.         13.9        0.          0.
89.         14.1        0.          0.
89.         14.3        0.          0.
89.         14.5        0.          0.
89.         14.7        0.          0.
89.         14.9        0.          0.
90.         0.1         0.474535    0.0472125
90.         0.3         0.946386    0.0654998
90.         0.5         0.846534    0.0626316
90.         0.7         0.786298    0.0618732
90.         0.9         0.669291    0.0583954
90.         1.1         0.66935     0.0604739
90.         1.3         0.490455    0.052267
90.         1.5         0.385394    0.0476714
90.         1.7         0.209223    0.0355289
90.         1.9         0.310646    0.0444273
90.         2.1         0.221962    0.0382823
90.         2.3         0.186521    0.0359783
90.         2.5         0.124623    0.0301506
90.         2.7         0.144157    0.0328864
90.         2.9         0.0963976   0.0289821
90.         3.1         0.0860776   0.028081
90.         3.3         0.0819568   0.0280748
90.         3.5         0.0522702   0.0218927
90.         3.7         0.0376996   0.0192092
90.         3.9         0.0685882   0.0246328
90.         4.1         0.0596266   0.0247195
90.         4.3         0.          0.
90.         4.5         0.0577126   0.0239181
90.         4.7         0.0328627   0.0190969
90.         4.9         0.0380874   0.0222655
90.         5.1         0.          0.
90.         5.3         0.0471898   0.0240723
90.         5.5         0.          0.
90.         5.7         0.          0.
90.         5.9         0.          0.
90.         6.1         0.          0.
90.         6.3         0.          0.
90.         6.5         0.          0.
90.         6.7         0.          0.
90.         6.9         0.          0.
90.         7.1         0.          0.
90.         7.3         0.          0.
90.         7.5         0.          0.
90.         7.7         0.          0.
90.         7.9         0.          0.
90.         8.1         0.          0.
90.         8.3         0.          0.
90.         8.5         0.          0.
90.         8.7         0.          0.
90.         8.9         0.          0.
90.         9.1         0.          0.
90.         9.3         0.          0.
90.         9.5         0.          0.
90.         9.7         0.          0.
90.         9.9         0.          0.
90.         10.1        0.          0.
90.         10.3        0.          0.
90.         10.5        0.          0.
90.         10.7        0.          0.
90.         10.9        0.          0.
90.         11.1        0.          0.
90.         11.3        0.          0.
90.         11.5        0.          0.
90.         11.7        0.          0.
90.         11.9        0.          0.
90.         12.1        0.          0.
90.         12.3        0.          0.
90.         12.5        0.          0.
90.         12.7        0.          0.
90.         12.9        0.          0.
90.         13.1        0.          0.
90.         13.3        0.          0.
90.         13.5        0.          0.
90.         13.7        0.          0.
90.         13.9        0.          0.
90.         14.1        0.          0.
90.         14.3        0.          0.
90.         14.5        0.          0.
90.         14.7        0.          0.
90.         14.9        0.          0.
91.         0.1         0.413234    0.0367483
91.         0.3         0.823825    0.0503638
91.         0.5         0.815451    0.0508304
91.         0.7         0.879585    0.0536629
91.         0.9         0.679232    0.0484925
91.         1.1         0.644534    0.0478193
91.         1.3         0.481997    0.0426822
91.         1.5         0.409459    0.0399059
91.         1.7         0.318837    0.0363653
91.         1.9         0.316546    0.0374331
91.         2.1         0.253144    0.0340865
91.         2.3         0.191989    0.030592
91.         2.5         0.158544    0.0278328
91.         2.7         0.0824782   0.019869
91.         2.9         0.103932    0.0235815
91.         3.1         0.107057    0.0245802
91.         3.3         0.0631143   0.0187616
91.         3.5         0.0607575   0.019563
91.         3.7         0.0280137   0.0126772
91.         3.9         0.          0.
91.         4.1         0.0320856   0.0148391
91.         4.3         0.0318627   0.0143329
91.         4.5         0.0358416   0.0163942
91.         4.7         0.          0.
91.         4.9         0.          0.
91.         5.1         0.0364844   0.0165357
91.         5.3         0.          0.
91.         5.5         0.          0.
91.         5.7         0.          0.
91.         5.9         0.          0.
91.         6.1         0.          0.
91.         6.3         0.          0.
91.         6.5         0.          0.
91.         6.7         0.          0.
91.         6.9         0.          0.
91.         7.1         0.          0.
91.         7.3         0.          0.
91.         7.5         0.          0.
91.         7.7         0.          0.
91.         7.9         0.          0.
91.         8.1         0.          0.
91.         8.3         0.          0.
91.         8.5         0.          0.
91.         8.7         0.          0.
91.         8.9         0.          0.
91.         9.1         0.          0.
91.         9.3         0.          0.
91.         9.5         0.          0.
91.         9.7         0.          0.
91.         9.9         0.          0.
91.         10.1        0.          0.
91.         10.3        0.          0.
91.         10.5        0.          0.
91.         10.7        0.          0.
91.         10.9        0.          0.
91.         11.1        0.          0.
91.         11.3        0.          0.
91.         11.5        0.          0.
91.         11.7        0.          0.
91.         11.9        0.          0.
91.         12.1        0.          0.
91.         12.3        0.          0.
